583,HM Queen Elizabeth II
584,Tony Blair
585,Prince Philip
586,HM The Queen Mother
587,Cherie Blair
588,Trevor Rees-Jones
589,Prince Charles
590,Sir Robin Janvrin
591,Stephen Lamport
592,Lord Airlie
593,Alastair Campbell
594,Equerry
595,Janvrin's Secretary
596,Balmoral Maid
597,Head Ghillie
598,Queen's Dresser
599,Balmoral Head Ghillie
600,Charles' Valet
601,Balmoral Switchboard Operator
602,Blair's Aide
603,Portrait Artist
604,TV Director<
605,Catholic Priest
606,German Reporter
607,French Bodyguard
608,No.10 Advisor (uncredited)
609,Secret Service (uncredited)
610,Biker (uncredited)
611,Man in Crowd (uncredited)
612,Tom Ripley
613,Marge Sherwood
614,Dickie Greenleaf
615,Meredith Logue
616,Freddie Miles
617,Peter Smith-Kingsley
618,Herbert Greenleaf
619,Inspector Roverini
620,Alvin MacCarron
621,Aunt Joan
622,Fausto
623,Silvana
624,Colonnello Verrecchia
625,Signora Buffi
626,Sergeant Baggio
627,Emily Greenleaf
628,Fran
629,Greenleaf Chaffeur
630,Fran's Boyfriend
631,Police Officer
632,Uncle Ted
633,Gucci Assistant
634,American Express Clerk (as Nino Prester)
635,Bus Driver
636,Priest
637,Immigration Officer
638,American Express Clerk
639,Dahlia
640,Ermelinda
641,Desk Manager Aldo
642,Tailor
643,Fighting Neighbor
644,Fighting Neighbor
645,Trumpet (Napoli Jazz Septet)
646,Piano (Napoli Jazz Septet)
647,Alto Sax (Napoli Jazz Septet)
648,Drums (Napoli Jazz Septet) mer
649,Double Bass (Napoli Jazz Septet)
650,Tenor Sax (Napoli Jazz Septet)
651,Electric Guitar (Napoli Jazz Septet)
652,Cornet (San Remo Jazz Sextet)
653,Alto Sax (San Remo Jazz Sextet)
654,Drums (San Remo Jazz Sextet)
655,Tenor Sax (San Remo Jazz Sextet)
656,Bass (San Remo Jazz Sextet)
657,Piano (San Remo Jazz Sextet)
658,Silvana's Fiancé
659,Silvana's Brother
660,Silvana's Mother
661,Photographer
662,Onegin (Eugene Onegin Player)
663,Lensky (Eugene Onegin Player)
664,Zaretsky (Eugene Onegin Player)
665,Guillot (Eugene Onegin Player)
666,Fausto's Fiancée
667,Dinelli's Cafe Waiter
668,Customs Officer
669,Record Store Owner
670,Boy Singer
671,Policeman
672,Policeman
673,Policeman
674,San Remo Hotel Desk Clerk
675,Uschi Obermaier
676,Rainer Langhans
677,Dieter Bockhorn
678,Mick Jagger
679,Keith Richards
680,Uschis Mutter
681,Agentin
682,James Stevens
683,Miss Kenton
684,Lord Darlington
685,Jack Lewis
686,Reginald Cardinal
687,William Stevens
688,Charlie, Head Footman
689,Auctioneer
690,Landlady
691,Mrs. Mortimer, the cook
692,George, Second Footman
693,Housemaid
694,Spencer
695,Trimmer
696,Dupont D'Ivry
697,Sir Geoffrey Wren
698,Thomas Benn
699,Lizzie
700,Harry Smith
701,Sir Leonard Bax
702,Canon Tufnell
703,Viscount Bigge
704,Baroness
705,Doctor Meredith
706,Postmaster
707,Irma
708,Publican
709,Publican's wife
710,Andrews
711,Doctor Richard Carlisle
712,Lord Halifax
713,German ambassador
714,Craddock (uncredited)
715,Rocky Balboa
716,Paulie
717,Rocky Jr.
718,Marie
719,Steps
720,Duke
721,L.C.
722,Adrian
723,Martin
724,Mason 'The Line' Dixon
725,Spider Rico
726,Isabel
727,Angie
728,Bar Thug
729,Lucky's Bartender
730,X-Cell
731,Edward Bell Wilson
732,Margaret Ann Russell
733,Sam Murach
734,Laura
735,Arch Cummings
736,Bill Sullivan
737,Senator John Russell, Sr.
738,Dr. Fredericks
739,Hanna Schiller
740,Philip Allen
741,Thomas Wilson
742,Richard Hayes
743,Joseph Palmi
744,Raymond Brocco
745,Mrs. John Russell, Sr.
746,Edward Wilson Jr.
747,Bonesman
748,Hannibal Lecter
749,Hannibal Lecter (young)
750,Lady Murasaki
751,Inspector Popil
752,Vladis Grutas
753,Enrikas Dortlich
754,Petras Kolnas
755,Zigmas Milko
756,Bronys Grentz
757,Mischa
758,Father Lecter
759,Mother Lecter
760,Nanny
761,Lothar
762,Berndt
763,Professor Dumas
764,Louis Simo
765,Toni Mannix
766,George Reeves
767,Eddie Mannix
768,Helen Bessolo
769,Carol Van Ronkel
770,Leonore Lemmon
771,Times Reporter
772,Johnny Blaze/Ghost Rider
773,Roxanne Simpson
774,Blackheart / Black King
775,Mack
776,Carter Slade / Phantom Rider
777,Mephistopheles
778,Barton Blaze
779,Young Johnny Blaze
780,Young Roxanne Simpson
781,Team Blaze
782,Team Blaze
783,Team Blaze
784,Team Blaze
785,X Games Announcer
786,Motorcycle Gang Member
787,Broken Spoke Waitress
788,Goth Girl in Alley
789,Wallow
790,Abigor
791,General Tadamichi Kuribayashi
