ID,Chacter1,Person1,Chacter2,Person2,Chacter3,Person3,Chacter4,Person4,Chacter5,Person5,Chacter6,Person6
1422,"William ""Billy"" Costigan", Jr.,Leonardo DiCaprio,Staff Sgt. Colin Sullivan,Matt Damon,"Francis ""Frank"" Costello",Jack Nicholson,Staff Sgt. Sean Dignam,Mark Wahlberg,Capt. Oliver Charles Queenan,Martin Sheen,"Arnold ""Frenchy"" French"
1423,Rocky,Jeffrey Weissman,Johnny Keen,Josh Duthie,Maynard,Elan Freydenson,Susie,Shannon Lark,,,,
1424,Sophie Jacobs,Courteney Cox,Hugh,James Le Gros,Jesse,Michael Ealy,Dr. Fayn,Nora Dunn,Officer Roberts,Nick Offerman,Carol Jacobs,Anne Archer
1426,Marcus,Alexander Beyer,Alena,Annika Blendl,Konrad,Falk Rockstroh,Hannes,Hermann Beyer,Sascha,Wladimir Tarasjanz,Janek,Louis El-Ghussein
1427,Jean-Baptiste Grenouille,Ben Whishaw,Bürgermeister von Grasse,Simon Chandler,Bischof von Grasse,David Calder,Magistrat,Richard Felix,Grenouilles Mutter,Birgit Minichmayr,Madame Gaillard,Sian Thomas
1428,El Mariachi,Antonio Banderas,Carolina,Salma Hayek,Sands,Johnny Depp,Ajedrez,Eva Mendes,Billy,Mickey Rourke,Cucuy,Danny Trejo
1429,Monty Brogan,Edward Norton,Jacob Elinsky,Philip Seymour Hoffman,Frank Slaughtery,Barry Pepper,Naturelle Riviera,Rosario Dawson,Mary D'Annuzio,Anna Paquin,James Brogan,Brian Cox
1430,Himself,Michael Moore,Himself,George H. W. Bush,Himself,George W. Bush,Himself,Dick Clark,Himself - NRA President,Charlton Heston,Himself - President of Chile,Salvador Allende
1433,Jacinto,Eduardo Noriega,Casares,Federico Luppi,Carmen,Marisa Paredes,Carlos,Fernando Tielve,Jaime,Íñigo Garcés,Conchita,Irene Visedo
1435,Herself,Renee Leblanc,Himself,Adolph Davis,Himself,Jonathan Caouette,Herself,Rosemary Davis,Himself,David Sanin Paz,,
1436,Yeo-sol,Jung Woo-Sung,Jin-lib,Ahn Sung-Ki,Choi Jung,Joo Jin-Mo,Princess Bu-yong,Zhang Ziyi,Ju-myeong,Park Yong-woo,Ga-nam,Park Jeong-Hak
1437,Mia,Felicitas Woll,Cosmo,Sebastian Ströbel,Sherin,Nina Tenge,Schraube,Florian Fischer,Mias Mutter,Sissi Perlinger,Obermaier,Jürgen Tonkel
1438,,,,,,,,,,,,
1439,Anna Leonowens,Jodie Foster,König Mongkut,Chow Yun-fat,Tuptim,Bai Ling,Louis Leonowens,Tom Felton,General Alak,Randall Duk Kim,Prince Chowfa, King Mongkut's Brother
