4918,1,3,4918,null,0.009896,1216656,Richard Appel,null,,,
4918,1,3,4918,null,0.618486,57744,Jonathan Aibel,,,,
4918,1,3,4918,,1.15821,57743,Glenn Berger,,,,
4918,2,1,4918,null,0.009896,1216656,Richard Appel,null,,,
4918,2,1,4918,null,0.618486,57744,Jonathan Aibel,,,,
4918,2,1,4918,,1.15821,57743,Glenn Berger,,,,
4918,2,2,4918,null,0.009896,1216656,Richard Appel,null,,,
4918,2,2,4918,null,0.618486,57744,Jonathan Aibel,,,,
4918,2,2,4918,,1.15821,57743,Glenn Berger,,,,
4918,2,3,4918,null,0.009896,1216656,Richard Appel,null,,,
4918,2,3,4918,null,0.618486,57744,Jonathan Aibel,,,,
4918,2,3,4918,,1.15821,57743,Glenn Berger,,,,
4920,1,1,4920,null,0,1218098,Glenn Kessler,null,,,
4920,1,1,4920,null,0,9256,Mark A. Baker,null,,,
4920,1,1,4920,null,0.012642,1223742,Todd A. Kessler,null,,,
4920,1,1,4920,6/16/1967,0.001031,68695,Daniel Zelman,,,,
4920,1,1,4920,1/7/1973,0.000349,1181304,Aaron Zelman,null,,,
4920,1,1,4920,3/21/1967,1.512399,1693424,Mirela Rupic,Orange County, California, U.S.,
4920,1,2,4920,null,0,1218098,Glenn Kessler,null,,,
4920,1,2,4920,null,0,9256,Mark A. Baker,null,,,
4920,1,2,4920,null,0.012642,1223742,Todd A. Kessler,null,,,
4920,1,2,4920,6/16/1967,0.001031,68695,Daniel Zelman,,,,
4920,1,2,4920,1/7/1973,0.000349,1181304,Aaron Zelman,null,,,
4920,1,2,4920,3/21/1967,1.512399,1693424,Mirela Rupic,Orange County, California, U.S.,
4920,1,3,4920,null,0,1218098,Glenn Kessler,null,,,
4920,1,3,4920,null,0,9256,Mark A. Baker,null,,,
4920,1,3,4920,null,0.012642,1223742,Todd A. Kessler,null,,,
4920,1,3,4920,6/16/1967,0.001031,68695,Daniel Zelman,,,,
4920,1,3,4920,1/7/1973,0.000349,1181304,Aaron Zelman,null,,,
4920,1,3,4920,3/21/1967,1.512399,1693424,Mirela Rupic,Orange County, California, U.S.,
4920,2,1,4920,null,0,1218098,Glenn Kessler,null,,,
4920,2,1,4920,null,0,9256,Mark A. Baker,null,,,
4920,2,1,4920,null,0.012642,1223742,Todd A. Kessler,null,,,
4920,2,1,4920,6/16/1967,0.001031,68695,Daniel Zelman,,,,
4920,2,1,4920,1/7/1973,0.000349,1181304,Aaron Zelman,null,,,
4920,2,1,4920,3/21/1967,1.512399,1693424,Mirela Rupic,Orange County, California, U.S.,
4920,2,2,4920,null,0,1218098,Glenn Kessler,null,,,
4920,2,2,4920,null,0,9256,Mark A. Baker,null,,,
4920,2,2,4920,null,0.012642,1223742,Todd A. Kessler,null,,,
4920,2,2,4920,6/16/1967,0.001031,68695,Daniel Zelman,,,,
4920,2,2,4920,1/7/1973,0.000349,1181304,Aaron Zelman,null,,,
4920,2,2,4920,3/21/1967,1.512399,1693424,Mirela Rupic,Orange County, California, U.S.,
4920,2,3,4920,null,0,1218098,Glenn Kessler,null,,,
4920,2,3,4920,null,0,9256,Mark A. Baker,null,,,
4920,2,3,4920,null,0.012642,1223742,Todd A. Kessler,null,,,
4920,2,3,4920,6/16/1967,0.001031,68695,Daniel Zelman,,,,
4920,2,3,4920,1/7/1973,0.000349,1181304,Aaron Zelman,null,,,
4920,2,3,4920,3/21/1967,1.512399,1693424,Mirela Rupic,Orange County, California, U.S.,
4929,1,1,4929,3/24/1911,2.00E-06,13594,Joseph Barbera,New York City, New York, USA,
4929,1,1,4929,7/14/1910,0.143492,13620,William Hanna,,,,
4929,1,2,4929,3/24/1911,2.00E-06,13594,Joseph Barbera,New York City, New York, USA,
4929,1,2,4929,7/14/1910,0.143492,13620,William Hanna,,,,
4929,1,3,4929,3/24/1911,2.00E-06,13594,Joseph Barbera,New York City, New York, USA,
4929,1,3,4929,7/14/1910,0.143492,13620,William Hanna,,,,
4929,2,1,4929,3/24/1911,2.00E-06,13594,Joseph Barbera,New York City, New York, USA,
4929,2,1,4929,7/14/1910,0.143492,13620,William Hanna,,,,
4929,2,2,4929,3/24/1911,2.00E-06,13594,Joseph Barbera,New York City, New York, USA,
4929,2,2,4929,7/14/1910,0.143492,13620,William Hanna,,,,
4929,2,3,4929,3/24/1911,2.00E-06,13594,Joseph Barbera,New York City, New York, USA,
4929,2,3,4929,7/14/1910,0.143492,13620,William Hanna,,,,
4930,1,1,4930,null,0.028704,1238229,Gwen Bagni,null,,,
4930,1,1,4930,10/10/1918,0.183071,27035,Paul Dubov,Illinois, USA,,
4930,1,1,4930,null,7.20E-05,1227201,Ed Friendly,null,,,
4930,1,1,4930,4/1/1928,0.001163,51313,Michael O'Herlihy,Dublin, Ireland,,
4930,1,2,4930,null,0.028704,1238229,Gwen Bagni,null,,,
4930,1,2,4930,10/10/1918,0.183071,27035,Paul Dubov,Illinois, USA,,
4930,1,2,4930,null,7.20E-05,1227201,Ed Friendly,null,,,
4930,1,2,4930,4/1/1928,0.001163,51313,Michael O'Herlihy,Dublin, Ireland,,
4930,2,1,4930,null,0.028704,1238229,Gwen Bagni,null,,,
4930,2,1,4930,10/10/1918,0.183071,27035,Paul Dubov,Illinois, USA,,
4930,2,1,4930,null,7.20E-05,1227201,Ed Friendly,null,,,
4930,2,1,4930,4/1/1928,0.001163,51313,Michael O'Herlihy,Dublin, Ireland,,
4930,2,2,4930,null,0.028704,1238229,Gwen Bagni,null,,,
4930,2,2,4930,10/10/1918,0.183071,27035,Paul Dubov,Illinois, USA,,
4930,2,2,4930,null,7.20E-05,1227201,Ed Friendly,null,,,
4930,2,2,4930,4/1/1928,0.001163,51313,Michael O'Herlihy,Dublin, Ireland,,
4930,2,3,4930,null,0.028704,1238229,Gwen Bagni,null,,,
4930,2,3,4930,10/10/1918,0.183071,27035,Paul Dubov,Illinois, USA,,
4930,2,3,4930,null,7.20E-05,1227201,Ed Friendly,null,,,
4930,2,3,4930,4/1/1928,0.001163,51313,Michael O'Herlihy,Dublin, Ireland,,
4935,1,1,4935,9/27/1948,4.20E-05,160161,Shaun Cassidy,Los Angeles, California, USA ,
4935,1,2,4935,9/27/1948,4.20E-05,160161,Shaun Cassidy,Los Angeles, California, USA ,
4935,1,3,4935,9/27/1948,4.20E-05,160161,Shaun Cassidy,Los Angeles, California, USA ,
4935,2,1,4935,9/27/1948,4.20E-05,160161,Shaun Cassidy,Los Angeles, California, USA ,
4935,2,2,4935,9/27/1948,4.20E-05,160161,Shaun Cassidy,Los Angeles, California, USA ,
4935,2,3,4935,9/27/1948,4.20E-05,160161,Shaun Cassidy,Los Angeles, California, USA ,
4937,1,1,4937,null,0.7,85283,Susumu Takaku,,,,
4937,1,1,4937,null,0,1238241,Tomomi Tsutsui,null,,,
4937,1,1,4937,null,0,1238242,Shozo Uehara,null,,,
4937,1,2,4937,null,0.7,85283,Susumu Takaku,,,,
4937,1,2,4937,null,0,1238241,Tomomi Tsutsui,null,,,
4937,1,2,4937,null,0,1238242,Shozo Uehara,null,,,
4937,1,3,4937,null,0.7,85283,Susumu Takaku,,,,
4937,1,3,4937,null,0,1238241,Tomomi Tsutsui,null,,,
4937,1,3,4937,null,0,1238242,Shozo Uehara,null,,,
4937,2,1,4937,null,0.7,85283,Susumu Takaku,,,,
4937,2,1,4937,null,0,1238241,Tomomi Tsutsui,null,,,
4937,2,1,4937,null,0,1238242,Shozo Uehara,null,,,
4937,2,2,4937,null,0.7,85283,Susumu Takaku,,,,
4937,2,2,4937,null,0,1238241,Tomomi Tsutsui,null,,,
4937,2,2,4937,null,0,1238242,Shozo Uehara,null,,,
4937,2,3,4937,null,0.7,85283,Susumu Takaku,,,,
4937,2,3,4937,null,0,1238241,Tomomi Tsutsui,null,,,
4937,2,3,4937,null,0,1238242,Shozo Uehara,null,,,
4940,1,1,4940,null,0.044552,1212604,Jonathan Murray,null,,,
4940,1,2,4940,null,0.044552,1212604,Jonathan Murray,null,,,
4940,1,3,4940,null,0.044552,1212604,Jonathan Murray,null,,,
4940,2,1,4940,null,0.044552,1212604,Jonathan Murray,null,,,
4940,2,2,4940,null,0.044552,1212604,Jonathan Murray,null,,,
4940,2,3,4940,null,0.044552,1212604,Jonathan Murray,null,,,
4945,1,1,4945,null,0.000153,1222915,Andrea Gorfolova,null,,,
4945,1,1,4945,null,0,1238245,Shaam Makan,null,,,
4945,1,1,4945,null,0,1238245,Shaam Makan,null,,,
4945,1,2,4945,null,0.000153,1222915,Andrea Gorfolova,null,,,
4945,1,2,4945,null,0,1238245,Shaam Makan,null,,,
4945,1,2,4945,null,0,1238245,Shaam Makan,null,,,
4945,1,3,4945,null,0.000153,1222915,Andrea Gorfolova,null,,,
4945,1,3,4945,null,0,1238245,Shaam Makan,null,,,
4945,1,3,4945,null,0,1238245,Shaam Makan,null,,,
4945,2,1,4945,null,0.000153,1222915,Andrea Gorfolova,null,,,
4945,2,1,4945,null,0,1238245,Shaam Makan,null,,,
4945,2,1,4945,null,0,1238245,Shaam Makan,null,,,
4945,2,2,4945,null,0.000153,1222915,Andrea Gorfolova,null,,,
4945,2,2,4945,null,0,1238245,Shaam Makan,null,,,
4945,2,2,4945,null,0,1238245,Shaam Makan,null,,,
4945,2,3,4945,null,0.000153,1222915,Andrea Gorfolova,null,,,
4945,2,3,4945,null,0,1238245,Shaam Makan,null,,,
4945,2,3,4945,null,0,1238245,Shaam Makan,null,,,
4951,1,1,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,1,1,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,1,1,4951,null,0,1238249,Samuel Paul,null,,,
4951,1,1,4951,null,0,1238250,Robert B. Kotlowitz,null,,,
4951,1,1,4951,null,0,1238251,Jac Venza,null,,,
4951,1,1,4951,6/24/1951,1.60E-05,77104,Charles Sturridge,London, England, UK,
4951,1,2,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,1,2,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,1,2,4951,null,0,1238249,Samuel Paul,null,,,
4951,1,2,4951,null,0,1238250,Robert B. Kotlowitz,null,,,
4951,1,2,4951,null,0,1238251,Jac Venza,null,,,
4951,1,2,4951,6/24/1951,1.60E-05,77104,Charles Sturridge,London, England, UK,
4951,1,3,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,1,3,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,1,3,4951,null,0,1238249,Samuel Paul,null,,,
4951,1,3,4951,null,0,1238250,Robert B. Kotlowitz,null,,,
4951,1,3,4951,null,0,1238251,Jac Venza,null,,,
4951,1,3,4951,6/24/1951,1.60E-05,77104,Charles Sturridge,London, England, UK,
4951,2,1,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,2,1,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,2,1,4951,null,0,1238249,Samuel Paul,null,,,
4951,2,1,4951,null,0,1238250,Robert B. Kotlowitz,null,,,
4951,2,1,4951,null,0,1238251,Jac Venza,null,,,
4951,2,1,4951,6/24/1951,1.60E-05,77104,Charles Sturridge,London, England, UK,
4951,2,2,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,2,2,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,2,2,4951,null,0,1238249,Samuel Paul,null,,,
4951,2,2,4951,null,0,1238250,Robert B. Kotlowitz,null,,,
4951,2,2,4951,null,0,1238251,Jac Venza,null,,,
4951,2,2,4951,6/24/1951,1.60E-05,77104,Charles Sturridge,London, England, UK,
4951,2,3,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,2,3,4951,null,1.40E-05,1231474,Derek Granger,null,,,
4951,2,3,4951,null,0,1238249,Samuel Paul,null,,,
4951,2,3,4951,null,0,1238250,Robert B. Kotlowitz,null,,,
4951,2,3,4951,null,0,1238251,Jac Venza,null,,,
4951,2,3,4951,6/24/1951,1.60E-05,77104,Charles Sturridge,London, England, UK,
4952,1,1,4952,null,0,1238252,John Noel,null,,,
4952,1,2,4952,null,0,1238252,John Noel,null,,,
4952,1,3,4952,null,0,1238252,John Noel,null,,,
4952,2,1,4952,null,0,1238252,John Noel,null,,,
4952,2,2,4952,null,0,1238252,John Noel,null,,,
4952,2,3,4952,null,0,1238252,John Noel,null,,,
4955,1,1,4955,,0.001068,1172762,Robert Hewitt Wolfe,null,,,
4955,1,1,4955,1/7/1964,14.251779,2963,Nicolas Cage,Long Beach, California, USA,
4955,1,1,4955,null,0,1216755,Morgan Gendel,null,,,
4955,1,2,4955,,0.001068,1172762,Robert Hewitt Wolfe,null,,,
4955,1,2,4955,1/7/1964,14.251779,2963,Nicolas Cage,Long Beach, California, USA,
4955,1,2,4955,null,0,1216755,Morgan Gendel,null,,,
4955,1,3,4955,,0.001068,1172762,Robert Hewitt Wolfe,null,,,
4955,1,3,4955,1/7/1964,14.251779,2963,Nicolas Cage,Long Beach, California, USA,
4955,1,3,4955,null,0,1216755,Morgan Gendel,null,,,
4955,2,1,4955,,0.001068,1172762,Robert Hewitt Wolfe,null,,,
4955,2,1,4955,1/7/1964,14.251779,2963,Nicolas Cage,Long Beach, California, USA,
4955,2,1,4955,null,0,1216755,Morgan Gendel,null,,,
4955,2,2,4955,,0.001068,1172762,Robert Hewitt Wolfe,null,,,
4955,2,2,4955,1/7/1964,14.251779,2963,Nicolas Cage,Long Beach, California, USA,
4955,2,2,4955,null,0,1216755,Morgan Gendel,null,,,
4955,2,3,4955,,0.001068,1172762,Robert Hewitt Wolfe,null,,,
4955,2,3,4955,1/7/1964,14.251779,2963,Nicolas Cage,Long Beach, California, USA,
4955,2,3,4955,null,0,1216755,Morgan Gendel,null,,,
4956,1,1,4956,null,0.0945,1460480,Adam Henry,null,,,
4956,1,1,4956,null,0.273,1447337,Perry Zombolas,null,,,
4956,1,1,4956,null,0,1447504,Bill Thyen,null,,,
4956,1,1,4956,null,0,1453536,Andy Schuhler,null,,,
4956,1,1,4956,null,0.21,1447380,Craig R. Maras,null,,,
4956,1,1,4956,null,0.002552,1419667,Richard J. Gasparian,null,,,
4956,1,1,4956,null,0,1447300,Dao Le,null,,,
4956,1,1,4956,null,0,1205986,Mary Ellen Bauder,null,,,
4956,1,1,4956,null,0,1213977,Kara Vallow,null,,,
4956,1,1,4956,2/20/1956,0.1421,6767,Larry Charles,Brooklyn, New York, USA,
4956,1,1,4956,null,0,1220717,Joe Port,null,,,
4956,1,2,4956,null,0.0945,1460480,Adam Henry,null,,,
4956,1,2,4956,null,0.273,1447337,Perry Zombolas,null,,,
4956,1,2,4956,null,0,1447504,Bill Thyen,null,,,
4956,1,2,4956,null,0,1453536,Andy Schuhler,null,,,
4956,1,2,4956,null,0.21,1447380,Craig R. Maras,null,,,
4956,1,2,4956,null,0.002552,1419667,Richard J. Gasparian,null,,,
4956,1,2,4956,null,0,1447300,Dao Le,null,,,
4956,1,2,4956,null,0,1205986,Mary Ellen Bauder,null,,,
4956,1,2,4956,null,0,1213977,Kara Vallow,null,,,
4956,1,2,4956,2/20/1956,0.1421,6767,Larry Charles,Brooklyn, New York, USA,
4956,1,2,4956,null,0,1220717,Joe Port,null,,,
4956,1,3,4956,null,0.0945,1460480,Adam Henry,null,,,
4956,1,3,4956,null,0.273,1447337,Perry Zombolas,null,,,
4956,1,3,4956,null,0,1447504,Bill Thyen,null,,,
4956,1,3,4956,null,0,1453536,Andy Schuhler,null,,,
4956,1,3,4956,null,0.21,1447380,Craig R. Maras,null,,,
4956,1,3,4956,null,0.002552,1419667,Richard J. Gasparian,null,,,
4956,1,3,4956,null,0,1447300,Dao Le,null,,,
4956,1,3,4956,null,0,1205986,Mary Ellen Bauder,null,,,
4956,1,3,4956,null,0,1213977,Kara Vallow,null,,,
4956,1,3,4956,2/20/1956,0.1421,6767,Larry Charles,Brooklyn, New York, USA,
4956,1,3,4956,null,0,1220717,Joe Port,null,,,
4956,2,1,4956,null,0.0945,1460480,Adam Henry,null,,,
4956,2,1,4956,null,0.273,1447337,Perry Zombolas,null,,,
4956,2,1,4956,null,0,1447504,Bill Thyen,null,,,
4956,2,1,4956,null,0,1453536,Andy Schuhler,null,,,
4956,2,1,4956,null,0.21,1447380,Craig R. Maras,null,,,
4956,2,1,4956,null,0.002552,1419667,Richard J. Gasparian,null,,,
4956,2,1,4956,null,0,1447300,Dao Le,null,,,
4956,2,1,4956,null,0,1205986,Mary Ellen Bauder,null,,,
4956,2,1,4956,null,0,1213977,Kara Vallow,null,,,
